Batch [375/500], Time 0.024219036102294922
Batch [376/500], Time 0.05371737480163574
Batch [377/500], Time 0.05309176445007324
Batch [378/500], Time 0.05168485641479492
Batch [379/500], Time 0.06254148483276367
Batch [380/500], Time 0.02252507209777832
Batch [381/500], Time 0.021903514862060547
Batch [382/500], Time 0.04504871368408203
Batch [383/500], Time 0.03141927719116211
Batch [384/500], Time 0.059783220291137695
Batch [385/500], Time 0.05740618705749512
Batch [386/500], Time 0.021603107452392578
Batch [387/500], Time 0.026311874389648438
Batch [388/500], Time 0.022060155868530273
Batch [389/500], Time 0.04630398750305176
Batch [390/500], Time 0.021820545196533203
Batch [391/500], Time 0.0550081729888916
Batch [392/500], Time 0.051703691482543945
Batch [393/500], Time 0.03867697715759277
Batch [394/500], Time 0.03367924690246582
Batch [395/500], Time 0.046456098556518555
Batch [396/500], Time 0.030469417572021484
Batch [397/500], Time 0.029378175735473633
Batch [398/500], Time 0.056110382080078125
Batch [399/500], Time 0.029081344604492188
Batch [400/500], Time 0.02725386619567871
Batch [401/500], Time 0.02513861656188965
Batch [402/500], Time 0.021849393844604492
Batch [403/500], Time 0.03857684135437012
Batch [404/500], Time 0.07442736625671387
Batch [405/500], Time 0.030797719955444336
Batch [406/500], Time 0.022013187408447266
Batch [407/500], Time 0.0525972843170166
Batch [408/500], Time 0.022589683532714844
Batch [409/500], Time 0.03325200080871582
Batch [410/500], Time 0.044530391693115234
Batch [411/500], Time 0.02114129066467285
Batch [412/500], Time 0.061992645263671875
Batch [413/500], Time 0.024603605270385742
Batch [414/500], Time 0.05458521842956543
Batch [415/500], Time 0.050692081451416016
Batch [416/500], Time 0.022142648696899414
Batch [417/500], Time 0.02114081382751465
Batch [418/500], Time 0.021907329559326172
Batch [419/500], Time 0.0582423210144043
Batch [420/500], Time 0.06791138648986816
Batch [421/500], Time 0.07601022720336914
Batch [422/500], Time 0.03744196891784668
Batch [423/500], Time 0.02158355712890625
Batch [424/500], Time 0.02275872230529785
Batch [425/500], Time 0.04005169868469238
Batch [426/500], Time 0.021849870681762695
Batch [427/500], Time 0.05912470817565918
Batch [428/500], Time 0.04697775840759277
Batch [429/500], Time 0.05654096603393555
Batch [430/500], Time 0.02135777473449707
Batch [431/500], Time 0.02271127700805664
Batch [432/500], Time 0.0235595703125
Batch [433/500], Time 0.09743952751159668
Batch [434/500], Time 0.04905843734741211
Batch [435/500], Time 0.06592321395874023
Batch [436/500], Time 0.041098594665527344
Batch [437/500], Time 0.02275991439819336
Batch [438/500], Time 0.031171321868896484
Batch [439/500], Time 0.07531547546386719
Batch [440/500], Time 0.06316590309143066
Batch [441/500], Time 0.03890347480773926
Batch [442/500], Time 0.030764341354370117
Batch [443/500], Time 0.023131370544433594
Batch [444/500], Time 0.02377796173095703
Batch [445/500], Time 0.05320477485656738
Batch [446/500], Time 0.027948617935180664
Batch [447/500], Time 0.030055761337280273
Batch [448/500], Time 0.06696176528930664
Batch [449/500], Time 0.040314435958862305
Batch [450/500], Time 0.03918337821960449
Batch [451/500], Time 0.06601476669311523
Batch [452/500], Time 0.062354087829589844
Batch [453/500], Time 0.02436232566833496
Batch [454/500], Time 0.05987858772277832
Batch [455/500], Time 0.02353048324584961
Batch [456/500], Time 0.022507905960083008
Batch [457/500], Time 0.05758094787597656
Batch [458/500], Time 0.026197195053100586
Batch [459/500], Time 0.029437541961669922
Batch [460/500], Time 0.02868962287902832
Batch [461/500], Time 0.022720813751220703
Batch [462/500], Time 0.06358647346496582
Batch [463/500], Time 0.07802867889404297
Batch [464/500], Time 0.08581709861755371
Batch [465/500], Time 0.04124951362609863
Batch [466/500], Time 0.02184271812438965
Batch [467/500], Time 0.04282641410827637
Batch [468/500], Time 0.08826184272766113
Batch [469/500], Time 0.022234201431274414
Batch [470/500], Time 0.022644519805908203
Batch [471/500], Time 0.06445646286010742
Batch [472/500], Time 0.061922311782836914
Batch [473/500], Time 0.07262372970581055
Batch [474/500], Time 0.028809547424316406
Batch [475/500], Time 0.058196306228637695
Batch [476/500], Time 0.04776787757873535
Batch [477/500], Time 0.05686593055725098
Batch [478/500], Time 0.08262348175048828
Batch [479/500], Time 0.09192490577697754
Batch [480/500], Time 0.03164386749267578
Batch [481/500], Time 0.028316259384155273
Batch [482/500], Time 0.06772947311401367
Batch [483/500], Time 0.02225184440612793
Batch [484/500], Time 0.023635387420654297
Batch [485/500], Time 0.02146148681640625
Batch [486/500], Time 0.02201986312866211
Batch [487/500], Time 0.06621336936950684
